,ts_code,name,classify,list_date,delist_date
556,AIBGY,,ADR,20181123,
557,AIBRF,,EQT,20140113,
558,AICAF,中国国航,EQT,20140113,
559,AIDA,爱大制药,EQT,20050914,
560,AIERF,,EQT,20140113,
561,AIFIF,,EQT,20170531,
562,AIFLY,,ADR,20021205,
563,AIFM,,EQT,20160705,
564,AIFS,,EQT,19750131,
565,AIG,美国国际,EQT,19721214,
566,AIGI,,EQT,20001213,
567,AIGPRA,,EQT,20190308,
568,AIH,医美国际,ADR,20191104,
569,AIHLF,,EQT,20080827,
570,AIHS,,EQT,20180316,
571,AIKI,,EQT,19721214,
572,AIKO,,EQT,20080609,
573,AILLL,,EQT,20171214,
574,AILQF,,EQT,19600101,
575,AIM,,EQT,19960712,
576,AIMC,,EQT,20061215,
577,AIMH,,EQT,19950725,
578,AIMT,,EQT,20150806,
579,AIN,,EQT,19870915,
580,AINC,,EQT,20141107,
581,AINPF,,EQT,20180727,
582,AINSF,,EQT,20140113,
583,AIOAF,,EQT,20140113,
584,AIOM,,EQT,20160614,
585,AIOSF,,EQT,20131008,
586,AIPRC,,EQT,20190306,
587,AIPUY,,ADR,20121004,
588,AIQUF,,EQT,20110206,
589,AIQUY,,ADR,19840815,
590,AIR,,EQT,19720424,
591,AIRG,,EQT,20160812,
592,AIRI,,EQT,20001005,
593,AIRO,,EQT,20000720,
594,AIRRF,,EQT,20110124,
595,AIRT,,EQT,19840423,
596,AIRYY,中国国航,ADR,20060629,
597,AISLF,,EQT,20020715,
598,AISSF,,EQT,20161108,
599,AIT,,EQT,19620702,
600,AITA,,EQT,20120627,
601,AITUF,,EQT,20131009,
602,AITVF,,EQT,20140113,
603,AITX,,EQT,20110518,
604,AIV,,EQT,19940722,
605,AIVAF,,EQT,19900328,
606,AIVN,,EQT,20010206,
607,AIXN,,EQT,20130719,
608,AIXXF,,EQT,20090729,
609,AIZ,,EQT,20040116,
610,AIZP,,EQT,20180308,
611,AJG,,EQT,19840620,
612,AJIA,,EQT,20180205,
613,AJINF,,EQT,19600101,
614,AJINY,,ADR,19790205,
615,AJISF,,EQT,20101007,
616,AJLGF,,EQT,20140113,
617,AJMPF,,EQT,20060918,
618,AJRD,,EQT,19620702,
619,AJX,,EQT,20150216,
620,AJXGF,,EQT,19600101,
621,AKAAF,,EQT,20140113,
622,AKABY,,ADR,20140716,
623,AKAM,阿克迈,EQT,19991026,
624,AKAOQ,,EQT,20140312,
625,AKASF,,EQT,20200603,
626,AKAVF,,EQT,20140113,
627,AKBA,,EQT,20140320,
628,AKBDY,,EQT,20100430,
629,AKBIF,,EQT,20140113,
630,AKBLF,,EQT,20140113,
631,AKBTY,,ADR,20050304,
632,AKCA,,EQT,20170714,
633,AKCPF,,EQT,20141031,
634,AKEJF,,EQT,20180202,
635,AKER,,EQT,20080526,
636,AKKVF,,EQT,20140113,
637,AKMNF,,EQT,20180308,
638,AKO.A,,ADR,19970407,
639,AKO.B,,ADR,19970407,
640,AKOM,,EQT,20170530,
641,AKR,,EQT,19930527,
642,AKRFF,,EQT,20140113,
643,AKRO,Akero Th,EQT,20190621,
644,AKRRF,,EQT,20130611,
645,AKRTF,,EQT,20141202,
646,AKRXQ,,EQT,19880408,
647,AKRYY,,ADR,20170117,
648,AKSJF,,EQT,20171102,
649,AKSY,,EQT,19960514,
650,AKTAF,,EQT,20140113,
651,AKTS,,EQT,20150528,
652,AKTX,,ADR,20130507,
653,AKUS,,EQT,20200626,
654,AKVA,,EQT,20120725,
655,AKZOF,,EQT,20140113,
656,AKZOY,,ADR,19860211,
657,AL,,EQT,20110419,
658,ALABF,,EQT,20200316,
659,ALAC,,EQT,20181121,
660,ALACF,,EQT,20130219,
661,ALACU,,EQT,20181024,
662,ALAN,,EQT,20110726,
663,ALARF,,EQT,20120710,
664,ALAXL,,EQT,20070717,
665,ALB,,EQT,19940222,
666,ALBBY,,ADR,20190930,
667,ALBHF,,EQT,20180720,
668,ALBKF,,EQT,20140113,
669,ALBKY,,ADR,20010109,
670,ALBO,,EQT,20070509,
671,ALBY,,EQT,19990316,
672,ALC,,EQT,20190409,
673,ALCCF,,EQT,20170224,
674,ALCN,,EQT,19970321,
675,ALCO,,EQT,19721214,
676,ALDA,,EQT,20110512,
677,ALDS,,EQT,20190718,
678,ALDVF,,EQT,20140113,
679,ALDX,,EQT,20140502,
680,ALE,,EQT,19620702,
681,ALEAF,,EQT,20161202,
682,ALEC,,EQT,20190207,
683,ALEDY,,ADR,20130917,
684,ALEX,,EQT,20120618,
685,ALFDF,,EQT,20190408,
686,ALFFF,,EQT,20140113,
687,ALFRY,,ADR,20180103,
688,ALFVF,,EQT,20140113,
689,ALFVY,,ADR,20081022,
690,ALG,,EQT,19930308,
691,ALGDF,,EQT,20160315,
692,ALGGF,,EQT,20100908,
693,ALGGY,,ADR,20130209,
694,ALGN,,EQT,20001120,
695,ALGT,,EQT,20061208,
696,ALGWF,,EQT,20170912,
697,ALGXY,,ADR,20110502,
698,ALIAF,,EQT,20101115,
699,ALID,,EQT,20190815,
700,ALIF,,EQT,19981217,
701,ALIM,,EQT,20100423,
702,ALINPRA,,EQT,20170224,
703,ALINPRB,,EQT,20180319,
704,ALINPRE,,EQT,20180118,
705,ALIOF,,EQT,20140113,
706,ALIZF,,EQT,20140113,
707,ALIZY,,ADR,20200113,
708,ALJJ,,EQT,19960328,
709,ALK,,EQT,19620702,
710,ALKEF,,EQT,20140113,
711,ALKHF,,EQT,20110206,
